epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.25867,3.89574,5.14627,0.0045,0,0,0,0,3.13091,4.24369,0.00438,0.00010002,0.00010002,0.00010002
2,6.34393,3.52783,4.79438,0.00371,0,0,0,0,2.83634,4.10793,0.00326,0.000212419,0.000212419,0.000212419
3,9.43413,3.2226,4.09798,0.00292,0,0,0,0,2.85854,4.08264,0.00313,0.000320197,0.000320197,0.000320197
4,12.4461,3.03512,3.57918,0.00282,0,0,0,0,2.76076,3.87245,0.00311,0.000423355,0.000423355,0.000423355
5,15.5242,3.03591,3.14875,0.00265,0.00654,0.04038,0.01767,0.00546,2.80735,3.75121,0.00315,0.000521891,0.000521891,0.000521891
6,18.5353,2.99777,2.6524,0.00251,0.01632,0.09739,0.04126,0.0097,2.87814,3.56157,0.00308,0.000615806,0.000615806,0.000615806
7,21.7462,2.87314,2.33441,0.00231,0.02571,0.14489,0.08376,0.0189,2.66058,3.36999,0.0029,0.000705101,0.000705101,0.000705101
8,24.8417,2.77711,2.32414,0.00232,0.02883,0.19477,0.09762,0.02049,2.5631,3.02833,0.00275,0.000789775,0.000789775,0.000789775
9,27.836,2.66108,2.17308,0.0023,0.036,0.2696,0.09157,0.02037,2.42331,2.91536,0.00263,0.000869827,0.000869827,0.000869827
10,31.4668,2.72556,2.09316,0.00219,0.0462,0.42755,0.17985,0.04596,2.78153,2.64831,0.00299,0.000945259,0.000945259,0.000945259
11,34.3622,2.77665,2.12113,0.00228,0.04239,0.44062,0.17974,0.04465,2.81873,2.49773,0.00297,0.00101607,0.00101607,0.00101607
12,37.2342,2.6871,2.02837,0.00223,0.04322,0.4715,0.18394,0.05458,2.53083,2.38888,0.0027,0.00108226,0.00108226,0.00108226
13,40.2251,2.76462,2.02867,0.00239,0.03028,0.37173,0.13382,0.03139,3.03702,2.1908,0.00327,0.00114383,0.00114383,0.00114383
14,43.2863,2.721,1.9946,0.00217,0.70745,0.33848,0.21729,0.05798,2.70394,2.00941,0.0028,0.00120078,0.00120078,0.00120078
15,46.2814,2.62817,1.92829,0.00213,0.80632,0.29677,0.30441,0.09575,2.35629,1.87339,0.00257,0.00120491,0.00120491,0.00120491
16,49.2771,2.73119,1.8645,0.0022,0.81159,0.31591,0.32558,0.11006,2.28252,1.79419,0.0025,0.0011719,0.0011719,0.0011719
17,52.2128,2.59586,1.76855,0.00205,0.82022,0.33967,0.34595,0.1194,2.31412,1.69505,0.00244,0.00113889,0.00113889,0.00113889
18,55.217,2.62669,1.75492,0.00204,0.82675,0.35629,0.35609,0.11419,2.37868,1.65476,0.00253,0.00110589,0.00110589,0.00110589
19,58.1828,2.5814,1.74607,0.00208,0.84592,0.36936,0.37222,0.12622,2.297,1.58143,0.00247,0.00107288,0.00107288,0.00107288
20,61.0949,2.45845,1.67931,0.00201,0.84786,0.37173,0.36669,0.1237,2.31821,1.54874,0.00249,0.00103987,0.00103987,0.00103987
21,64.1659,2.49347,1.69616,0.00201,0.84242,0.36646,0.35221,0.11503,2.39698,1.49731,0.00258,0.00100687,0.00100687,0.00100687
22,67.0571,2.44081,1.66347,0.00207,0.86144,0.38107,0.37965,0.1304,2.3087,1.45741,0.00251,0.000973861,0.000973861,0.000973861
23,70.151,2.40157,1.59526,0.00195,0.85538,0.3943,0.38902,0.13406,2.29317,1.39366,0.00244,0.000940855,0.000940855,0.000940855
24,73.2116,2.51896,1.62981,0.00201,0.86363,0.38954,0.38446,0.13322,2.28482,1.3421,0.00246,0.000907848,0.000907848,0.000907848
25,76.145,2.43321,1.56587,0.00199,0.88609,0.39667,0.39711,0.14455,2.21396,1.2764,0.0024,0.000874842,0.000874842,0.000874842
26,79.0996,2.5253,1.64417,0.00203,0.88478,0.39311,0.39943,0.14227,2.27311,1.25159,0.00243,0.000841835,0.000841835,0.000841835
27,82.0819,2.52744,1.55742,0.00191,0.88324,0.40261,0.39977,0.13656,2.2967,1.24144,0.00242,0.000808828,0.000808828,0.000808828
28,85.0428,2.58605,1.53949,0.00195,0.88823,0.39549,0.39396,0.12908,2.34719,1.25486,0.00251,0.000775822,0.000775822,0.000775822
29,87.9808,2.5401,1.54917,0.002,0.88731,0.39187,0.39058,0.13373,2.31452,1.23566,0.00259,0.000742815,0.000742815,0.000742815
30,90.9557,2.36828,1.44981,0.00195,0.88883,0.39878,0.41026,0.15136,2.17949,1.22285,0.00238,0.000709809,0.000709809,0.000709809
31,93.9156,2.42532,1.50023,0.00194,0.88674,0.39786,0.40475,0.16216,2.11784,1.18896,0.00224,0.000676802,0.000676802,0.000676802
32,96.8078,2.44612,1.45629,0.00189,0.89103,0.40024,0.40654,0.15529,2.1803,1.18276,0.00229,0.000643795,0.000643795,0.000643795
33,99.7143,2.41757,1.487,0.00192,0.89851,0.40024,0.40942,0.14929,2.26008,1.16469,0.0024,0.000610789,0.000610789,0.000610789
34,102.621,2.36462,1.44502,0.00193,0.89177,0.40143,0.40985,0.15419,2.18219,1.15098,0.00236,0.000577782,0.000577782,0.000577782
35,105.566,2.50582,1.45359,0.00194,0.90106,0.4038,0.41871,0.16174,2.10171,1.11839,0.00228,0.000544776,0.000544776,0.000544776
36,117.851,2.22109,1.74585,0.00189,0.90215,0.41093,0.4286,0.16644,2.07991,1.11265,0.00224,0.000511769,0.000511769,0.000511769
37,121.054,2.25898,1.66373,0.00188,0.9109,0.39984,0.43682,0.16638,2.08924,1.18835,0.00222,0.000478762,0.000478762,0.000478762
38,123.723,2.18282,1.63933,0.00188,0.90907,0.40024,0.42215,0.15958,2.12082,1.2897,0.00227,0.000445756,0.000445756,0.000445756
39,126.373,2.13492,1.63955,0.0019,0.90696,0.39192,0.40493,0.15367,2.15802,1.25884,0.00233,0.000412749,0.000412749,0.000412749
40,129.016,2.14821,1.574,0.00191,0.90594,0.3998,0.41153,0.15703,2.14101,1.2261,0.0023,0.000379743,0.000379743,0.000379743
41,131.654,2.17386,1.49278,0.00185,0.89545,0.41327,0.42868,0.16513,2.11729,1.16336,0.00223,0.000346736,0.000346736,0.000346736
42,134.38,2.21705,1.52878,0.0019,0.89381,0.40855,0.43092,0.16601,2.13445,1.14494,0.00223,0.000313729,0.000313729,0.000313729
43,137.257,2.17777,1.50276,0.00177,0.89179,0.40852,0.42642,0.16245,2.13848,1.13335,0.00224,0.000280723,0.000280723,0.000280723
44,139.947,2.1254,1.46401,0.0018,0.89369,0.40855,0.41783,0.16309,2.15092,1.11834,0.00226,0.000247716,0.000247716,0.000247716
45,142.813,2.12285,1.44113,0.00185,0.90959,0.40974,0.42262,0.16084,2.16377,1.10914,0.00228,0.00021471,0.00021471,0.00021471
46,145.562,2.0825,1.37893,0.00186,0.91301,0.40597,0.42235,0.16093,2.17641,1.10408,0.0023,0.000181703,0.000181703,0.000181703
47,148.489,2.12504,1.39648,0.00191,0.90784,0.4038,0.42164,0.1613,2.16727,1.12186,0.00229,0.000148696,0.000148696,0.000148696
48,151.172,2.12122,1.41119,0.00189,0.90229,0.40261,0.4169,0.16064,2.15632,1.12194,0.00228,0.00011569,0.00011569,0.00011569
49,153.97,2.16243,1.44091,0.00187,0.90328,0.40024,0.43011,0.1628,2.15262,1.1197,0.00227,8.26832e-05,8.26832e-05,8.26832e-05
50,156.865,2.18582,1.42817,0.00189,0.89612,0.40308,0.42653,0.16354,2.14778,1.10848,0.00226,4.96766e-05,4.96766e-05,4.96766e-05
